# route_name: 尖沙咀 Tsim Sha Tsui
latitude,longitude,name_tc,name_en
22.294590,114.164723,海港城盡頭 (郵輪碼頭/廣東道口),End of Harbour City (Canton Road)
22.294810,114.166500,廣東道沿步道向南 (海港城外),Canton Road Southbound Walkway
22.295075,114.168376,海港城連卡佛 (梳士巴利道交界),Harbour City Lane Crawford (Salisbury Road)
22.294196,114.168910,星光行 (五支旗桿),Star House (Five Flag Poles)
22.294047,114.168394,尖沙咀天星碼頭,Tsim Sha Tsui Star Ferry Pier
22.293750,114.169100,天星碼頭海濱長廊步道,Star Ferry Waterfront Promenade Pier
22.293811,114.169964,尖沙咀公眾碼頭 (觀景台下),Tsim Sha Tsui Public Pier
22.294050,114.170450,香港文化中心廣場 (鐘樓旁),Hong Kong Cultural Centre Piazza (Clock Tower)
22.294241,114.170791,香港文化中心行政大樓,Hong Kong Cultural Centre Administrative Building
22.293850,114.171300,藝術館外海濱步道段,Waterfront Path outside Museum of Art
22.294019,114.171877,香港藝術館 (正門面海段),Hong Kong Museum of Art
22.293800,114.172400,梳士巴利花園海濱段 (星光大道西面起點),Salisbury Garden Waterfront (Avenue of Stars West Entrance)
22.293900,114.173000,星光大道步道 (梅艷芳銅像附近),Avenue of Stars Path (Anita Mui Statue)
22.294350,114.173450,星光大道步道小彎道 (觀景平台前),Avenue of Stars (Promenade Curve)
22.294594,114.173667,星光大道（李小龍銅像）,Avenue of Stars (Bruce Lee Statue)
22.294425,114.173914,K11 人文購物藝術館 (K11 MUSEA 海濱正門),K11 MUSEA Waterfront Entrance
22.294850,114.174300,星光大道東段步道 (麥兜銅像附近),Avenue of Stars East (McDull Statue)
22.295700,114.174100,梳士巴利道地下通道/行人天橋口 (往麼地道),Salisbury Road Subway / Footbridge to Mody Road
22.297000,114.173850,麼地道與碧仙桃路交界,Mody Road & Bristol Avenue Junction
22.297711,114.173646,K11 購物藝術館 (加拿分道入口),K11 Art Mall (Carnarvon Road)
22.298200,114.175500,麼地道公園步行徑,Mody Road Garden Pedestrian Path
22.299500,114.176800,科學館道步行天橋口,Science Museum Road Footbridge Entrance
22.300153,114.177559,香港科學館 / 香港歷史博物館 (露天廣場),HK Science Museum / HK Museum of History Piazza
22.300500,114.178800,科學館徑往康莊道方向,Science Museum Path towards Hong Chong Road
22.300868,114.179707,唯港薈 (Hotel ICON),Hotel ICON
22.301800,114.179900,紅磡車站行人天橋系統,Hung Hom Station Footbridge System
22.302481,114.180396,香港體育館 (紅館平台),Hong Kong Coliseum Platform
22.303200,114.175000,柯士甸道東步道 (往西九龍方向過渡),Austin Road East Walkway
22.302800,114.168500,柯士甸道與彌敦道交界 (地鐵站上方),Austin Road & Nathan Road Junction
22.301900,114.165800,柯士甸道西行人隧道/天橋段,Austin Road West Footbridge / Subway Section
22.301113,114.164570,戲曲中心 (中庭廣場入口),Xiqu Centre Main Atrium
